html_kb,css_kb,js_kb,image_count,font_count,http_requests,load_time_sec
78.04,35.32,270.02,22,3,32,3.81
190.39,270.36,432.31,20,5,38,5.81
147.74,274.91,281.98,18,5,37,5.15
121.74,322.34,151.28,18,1,37,4.66
35.42,365.78,198.54,35,6,56,6.62
35.42,488.17,701.95,28,3,53,7.64
16.33,262.99,325.37,17,4,37,4.9
173.9,168.25,559.12,1,1,18,3.58
122.22,399.64,765.06,0,3,20,5.07
143.07,142.71,1041.78,4,3,24,5.21
9.01,225.1,78.18,19,1,43,3.87
194.13,48.44,1203.13,10,5,38,6.19
167.33,22.42,949.29,1,3,22,4.25
46.41,481.7,141.0,2,5,15,3.76
40.46,419.63,1312.9,22,1,40,7.82
40.76,351.03,1382.89,11,5,28,7.26
64.33,210.39,110.4,19,2,44,4.31
107.33,94.91,429.78,4,4,24,3.31
89.23,86.65,1213.18,36,7,65,8.74
61.79,132.62,1127.42,37,3,50,7.88
124.31,279.12,293.09,29,6,57,6.57
32.2,360.15,329.84,8,4,35,4.6
61.97,333.5,568.3,33,7,49,7.32
76.44,147.17,737.09,34,5,52,6.92
93.93,477.88,935.02,21,3,31,7.24
158.11,371.57,565.99,23,5,42,6.72
43.94,281.63,704.55,16,2,41,5.65
105.28,309.74,1126.26,9,1,17,5.86
120.52,215.6,74.29,29,3,51,5.12
14.06,131.39,393.61,22,7,34,4.85
123.47,184.43,1075.76,31,7,49,7.99
38.25,381.34,1344.91,16,2,34,7.37
17.69,17.05,777.28,16,2,39,4.69
190.03,66.88,807.53,13,3,40,5.29
193.3,32.54,178.61,8,5,22,3.11
162.64,29.96,682.17,39,6,53,6.98
64.4,429.18,808.27,1,7,24,5.71
24.05,354.79,378.86,24,7,55,6.35
138.43,242.35,418.48,38,2,62,6.97
90.83,57.94,578.38,8,4,33,4.22
28.8,250.89,49.71,21,2,46,4.44
101.56,242.0,496.68,3,6,22,4.17
11.71,94.87,332.94,25,5,38,4.67
182.32,222.59,504.7,28,5,39,6.4
55.46,205.27,197.25,33,4,45,5.52
134.19,311.77,1337.98,22,7,35,8.29
65.78,321.2,898.52,36,2,57,7.99
106.41,32.2,1025.07,10,5,21,5.06
111.61,193.56,1187.97,5,6,19,5.89
41.05,316.67,757.69,17,3,30,5.89
194.07,256.54,148.64,20,1,32,4.35
156.15,429.68,814.92,35,1,50,8.07
188.2,332.76,888.52,37,1,61,8.61
179.49,89.84,1123.25,33,7,63,8.4
121.59,44.58,658.86,16,2,34,4.72
184.77,324.79,208.82,36,4,47,6.58
22.26,22.99,439.99,24,5,46,4.79
43.22,297.03,557.36,37,3,62,7.36
13.82,470.71,975.96,11,6,29,6.64
68.44,291.98,864.75,22,3,44,6.79
80.79,200.2,547.02,21,6,32,5.62
57.91,325.21,1480.04,20,7,34,8.41
166.6,234.54,916.55,26,2,40,6.92
74.57,277.35,371.1,30,1,39,5.46
59.78,471.32,170.64,5,2,27,3.93
110.83,199.19,246.23,26,7,47,5.56
32.48,480.98,384.02,39,4,59,7.74
161.43,453.62,257.81,33,4,55,7.23
19.54,105.94,296.12,11,7,36,3.98
197.44,43.99,441.94,6,6,18,3.48
155.59,59.38,276.59,9,5,23,3.48
43.75,18.93,1347.21,16,5,30,6.24
6.08,56.28,138.75,25,6,41,4.14
164.01,344.67,796.28,20,4,41,6.85
142.84,44.88,627.39,27,4,44,5.87
147.16,166.3,1473.92,1,4,24,6.2
155.4,423.99,185.82,0,2,20,3.68
19.44,21.4,608.83,35,4,50,5.95
74.9,409.09,1454.82,25,3,52,9.04
27.59,148.11,1300.95,28,1,35,6.99
173.31,67.9,1229.27,20,4,35,6.83
126.54,351.4,401.7,10,6,26,5.08
69.53,318.18,272.91,39,1,61,6.75
17.39,439.96,1009.59,10,2,18,5.83
65.64,370.18,1395.48,35,6,48,9.54
68.41,403.71,844.01,38,1,48,7.97
147.27,148.2,865.99,39,6,54,8.04
129.32,96.95,434.37,34,2,41,5.61
178.01,377.8,1158.85,33,3,48,8.92
97.08,405.35,296.82,23,2,41,5.91
28.32,495.35,499.05,21,2,31,5.93
144.08,212.18,649.65,4,6,27,4.77
153.35,192.29,771.26,32,7,58,7.67
114.45,390.44,378.77,35,5,55,7.23
155.34,176.99,189.96,19,4,37,4.45
101.29,466.07,923.72,18,4,29,7.02
106.93,430.62,447.17,34,3,55,7.51
88.37,220.21,880.23,16,3,39,6.03
